Location,Date,Label,Time,Absorbance,Phosphorus,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High1,5,0.597,92.72560853,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 1,10,0.567,88.0714873,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 1,20,0.527,81.86599234,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 1,40,0.45,69.92041453,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 1,60,0.374,58.84465262,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 2,5,0.558,86.67525093,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 2,10,0.515,80.00434385,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 2,20,0.473,73.48857413,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 2,40,0.32,50.41373927,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 2,60,0.269,42.45120999,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 3,5,0.697,108.2393459,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 3,10,0.645,100.1722025,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 3,20,0.61,94.74239439,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 3,40,0.492,77.26775956,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,High 3,60,0.398,62.59172521,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 1,5,0.631,98.00027925,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 1,10,0.606,94.12184489,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 1,20,0.557,86.52011356,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 1,40,0.476,73.95398625,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 1,60,0.421,65.42143068,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 2,5,0.702,109.0150328,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 2,10,0.65,100.9478894,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 2,20,0.596,92.57047115,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 2,40,0.522,81.09030547,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 2,60,0.49,76.12590949,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 3,5,0.655,101.7235762,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 3,10,0.646,100.3273399,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 3,20,0.568,88.22662468,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 3,40,0.507,78.76324485,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Medium 3,60,0.457,71.00637615,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 1,5,0.644,100.0170651,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 1,10,0.606,94.12184489,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 1,20,0.553,85.89956406,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 1,40,0.47,73.02316201,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 1,60,0.432,67.12794179,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 2,5,0.749,116.3064894,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 2,10,0.697,108.2393459,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low  2,20,0.659,102.3441257,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 2,40,0.661,102.6544005,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 2,60,0.585,90.86396004,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 3,5,0.639,99.24137824,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 3,10,0.613,95.20780651,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low  3,20,0.593,92.10505903,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 3,40,0.495,76.90159636,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Low 3,60,0.487,75.66049737,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 1,5,0.629,97.6900045,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 1,10,0.621,96.44890551,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 1,20,0.58,90.08827317,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 1,40,0.54,83.8827782,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 1,60,0.511,79.38379435,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 2,5,0.594,92.2601964,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 2,10,0.574,89.15744892,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 2,20,0.547,84.96873982,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 2,40,0.507,78.76324485,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 2,60,0.492,76.43618424,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 3,5,0.577,89.62286104,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 3,10,0.559,86.83038831,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 3,20,0.546,84.81360244,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 3,40,0.503,78.14269536,,,,,,,,,,,,,,,,,
Stoney Run, 6/14/2021,Control 3,60,0.482,74.8848105,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,5,0.614,96.31537861,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,10,0.603,94.59797034,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,20,0.536,84.13739266,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,40,0.462,72.58391881,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 1,60,0.4,62.90398126,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,5,0.633,99.28181109,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,10,0.734,115.0507416,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,20,0.69,108.1811085,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,40,0.618,96.93989071,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 2,60,0.419,65.87041374,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,5,0.633,99.28181109,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,10,0.591,92.72443404,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,20,0.563,88.35284934,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,40,0.479,75.23809524,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,High 3,60,0.632,99.12568306,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,5,0.816,127.8532397,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,10,0.75,117.54879,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,20,0.734,115.0507416,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,40,0.641,100.5308353,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 1,60,0.584,91.63153786,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,5,0.699,109.5862607,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,10,0.757,118.6416862,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,20,0.611,95.84699454,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,40,0.516,81.01483216,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 2,60,0.445,69.92974239,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,5,0.657,103.0288837,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,10,0.607,95.22248244,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,20,0.543,85.23028884,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,40,0.496,77.89227166,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Medium 3,60,0.434,68.21233411,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,5,0.815,127.6971116,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,10,0.844,132.2248244,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  1,20,0.736,115.3629977,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,40,0.669,104.90242,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 1,60,0.587,92.09992194,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,5,0.951,148.930523,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,10,0.845,132.3809524,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  2,20,0.644,100.9992194,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,40,0.739,115.8313817,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 2,60,0.672,105.3708041,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,5,0.69,108.1811085,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,10,0.639,100.2185792,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low  3,20,0.594,93.19281811,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,40,0.492,77.26775956,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Low 3,60,0.45,70.71038251,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,5,0.674,105.6830601,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,10,0.652,102.2482436,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,20,0.613,96.15925059,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,40,0.57,89.44574551,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 1,60,0.533,83.66900859,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,5,0.632,99.12568306,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,10,0.618,96.93989071,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,20,0.569,89.28961749,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,40,0.506,79.45355191,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 2,60,0.466,73.20843091,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,5,0.605,94.91022639,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,10,0.556,87.25995316,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,20,0.508,79.76580796,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,40,0.46,72.27166276,,,,,,,,,,,,,,,,,
Conley Run,6/15/21,Control 3,60,0.428,67.27556596,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High1,5,0.785,125.2145471,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,10,0.703,111.9369151,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,20,0.658,104.6504097,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,40,0.538,85.21972862,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 1,60,0.467,73.72324233,,,,,,,,,,,,,,,,,
Stoney Run,6/30/21,High 2,5,0.667,106.1077107,,,,,,,,,,,,,,,,,
